452600,8.325,41,880,129,322,126,37.880,-122.230
358500,8.301,21,7099,1106,2401,1138,37.860,-122.220
352100,7.257,52,1467,190,496,177,37.850,-122.240
341300,5.643,52,1274,235,558,219,37.850,-122.250
342200,3.846,52,1627,280,565,259,37.850,-122.250
269700,4.037,52,919,213,413,193,37.850,-122.250
299200,3.659,52,2535,489,1094,514,37.840,-122.250
241400,3.120,52,3104,687,1157,647,37.840,-122.250
226700,2.080,42,2555,665,1206,595,37.840,-122.260
261100,3.691,52,3549,707,1551,714,37.840,-122.250
281500,3.203,52,2202,434,910,402,37.850,-122.260
241800,3.271,52,3503,752,1504,734,37.850,-122.260
213500,3.075,52,2491,474,1098,468,37.850,-122.260
191300,2.674,52,696,191,345,174,37.840,-122.260
159200,1.917,52,2643,626,1212,620,37.850,-122.260
140000,2.125,50,1120,283,697,264,37.850,-122.260
152500,2.775,52,1966,347,793,331,37.850,-122.270
155500,2.120,52,1228,293,648,303,37.850,-122.270
158700,1.991,50,2239,455,990,419,37.840,-122.260
162900,2.603,52,1503,298,690,275,37.840,-122.270
147500,1.358,40,751,184,409,166,37.850,-122.270
159800,1.714,42,1639,367,929,366,37.850,-122.270
113900,1.725,52,2436,541,1015,478,37.840,-122.270
99700,2.181,52,1688,337,853,325,37.840,-122.270
132600,2.600,52,2224,437,1006,422,37.840,-122.270
107500,2.404,41,535,123,317,119,37.850,-122.280
93800,2.460,49,1130,244,607,239,37.850,-122.280
105500,1.808,52,1898,421,1102,397,37.850,-122.280
108900,1.642,50,2082,492,1131,473,37.840,-122.280
132000,1.688,52,729,160,395,155,37.840,-122.280
122300,1.927,49,1916,447,863,378,37.840,-122.280
115200,1.962,52,2153,481,1168,441,37.840,-122.280
110400,1.797,48,1922,409,1026,335,37.840,-122.270
104900,1.375,49,1655,366,754,329,37.830,-122.270
109700,2.730,51,2665,574,1258,536,37.830,-122.270
97200,1.486,49,1215,282,570,264,37.830,-122.270
104500,1.097,48,1798,432,987,374,37.830,-122.270
103900,1.410,52,1511,390,901,403,37.830,-122.280
191400,3.480,52,1470,330,689,309,37.830,-122.260
176000,2.590,52,2432,715,1377,696,37.830,-122.260
155400,2.098,52,1665,419,946,395,37.830,-122.260
150000,1.285,51,936,311,517,249,37.830,-122.260
118800,1.025,49,713,202,462,189,37.840,-122.260
188800,3.964,52,950,202,467,198,37.840,-122.260
184400,3.013,52,1443,311,660,292,37.830,-122.260
182300,2.677,52,1656,420,718,382,37.830,-122.260
142500,2.026,50,1125,322,616,304,37.830,-122.260
137500,1.735,43,1007,312,558,253,37.820,-122.270
187500,0.951,40,624,195,423,160,37.820,-122.260
112500,1.775,40,946,375,700,352,37.820,-122.270
171900,0.922,21,896,453,735,438,37.820,-122.270
93800,1.504,43,1868,456,1061,407,37.820,-122.270
97500,1.111,41,3221,853,1959,720,37.820,-122.270
104200,1.248,52,1630,456,1162,400,37.820,-122.270
87500,1.610,52,1170,235,701,233,37.820,-122.280
83100,1.411,52,945,243,576,220,37.820,-122.280
87500,1.506,52,1238,288,622,259,37.820,-122.280
85300,0.817,52,1489,335,728,244,37.820,-122.280
80300,1.217,52,1387,341,1074,304,37.820,-122.280
60000,2.563,2,158,43,94,57,37.820,-122.290
75700,3.393,52,1121,211,554,187,37.830,-122.290
75000,6.118,49,135,29,86,23,37.820,-122.290
86100,0.901,50,760,190,377,122,37.810,-122.290
76100,1.191,52,1224,237,521,159,37.810,-122.300
73500,2.594,48,828,182,392,133,37.810,-122.300
78400,1.167,52,1010,209,604,187,37.810,-122.300
84400,0.806,48,1455,354,788,332,37.810,-122.300
81300,2.609,52,1027,244,492,147,37.800,-122.290
85000,1.852,52,572,109,274,82,37.810,-122.300
129200,0.980,46,2801,644,1823,611,37.810,-122.290
82500,1.772,26,768,152,392,127,37.810,-122.290
95200,0.729,46,935,297,582,277,37.810,-122.290
75000,1.750,49,844,204,560,152,37.810,-122.290
67500,0.500,46,12,4,18,7,37.810,-122.290
137500,2.483,20,835,161,290,133,37.810,-122.290
177500,0.924,17,1237,462,762,439,37.810,-122.280
102100,2.446,36,2914,562,1236,509,37.810,-122.280
108300,1.111,19,1207,243,721,207,37.810,-122.280
112500,0.803,23,1745,374,1054,325,37.810,-122.290
